batch_id,instructor_id,course_id,completion_rate,avg_score_improvement,avg_quiz_score,dropout_rate,avg_watch_time,assignment_submission_rate,forum_activity_rate,avg_feedback_score,feedback_response_rate
B_1556,I_025,C_02,0.98,29.1749771,85.3216775,0.02630351,0.860238876,0.634255414,0.243301331,4.608675769,0.840215905
B_1692,I_082,C_12,0.589154172,26.84593298,77.05467857,0.372619722,0.813143957,0.760303909,0.150097383,3.322809718,0.644679102
B_1475,I_013,C_12,0.849630801,40,59.9667293,0.132976801,0.475681374,0.794707311,0.229817946,4.43071741,0.636012062
B_1799,I_029,C_07,0.567163273,21.43317089,74.28216216,0.308529243,0.714550083,0.878098125,0.243964076,3.924375207,0.598079996
B_0479,I_023,C_03,0.511977247,16.3872766,62.37824669,0.487619308,0.606441314,0.650327258,0.135615207,5,0.746864687
B_0282,I_002,C_06,0.889699619,37.54405998,97.98486034,0.089486174,0.915910201,1,0.321918834,4.953550692,0.59788857
B_1648,I_087,C_11,0.668999054,31.89566033,78.71634703,0.361022775,0.686390127,0.722358602,0.359341386,4.346899741,1
B_1557,I_071,C_16,0.582472683,24.33718186,87.29729384,0.413861807,0.636771284,0.686026615,0.154249274,3.978874329,0.746395571
B_1730,I_081,C_08,0.560744655,25.6101256,86.33497611,0.402932785,0.733087863,0.443426411,0.31266329,4.719093668,0.930376942
B_0211,I_062,C_02,0.658489636,30.67007316,78.99214761,0.312081491,0.926143779,0.877284355,0.277311398,4.204680388,0.907618566
B_0298,I_116,C_18,0.614009582,25.09067555,77.18853917,0.341240751,0.621144347,0.456590961,0.231393292,3.922935508,0.856572941
B_1885,I_072,C_23,0.605459534,33.34092944,73.8999046,0.492617918,0.800404467,0.414282519,0.377486461,4.004420739,0.90640519
B_1834,I_066,C_24,0.886557379,31.59161223,70.28117694,0.139545158,0.728189238,0.841779231,0.432715199,5,0.965968484
B_0652,I_016,C_25,0.560392985,25.25109313,71.6335071,0.417681534,0.559189919,0.437127471,0.27931992,4.226721644,0.802547138
B_1234,I_112,C_15,0.44831346,20.19665164,72.89814958,0.592678421,0.982859081,0.76617141,0.3971546,4.000927241,0.583545023
B_1503,I_040,C_24,0.519187566,26.81614806,77.5943606,0.477091724,0.603152988,0.858344085,0.196244329,4.518459121,0.638197704
B_1932,I_024,C_11,0.626655113,32.83569141,83.67479678,0.304021463,0.894556089,0.864234198,0.14054222,3.621126394,0.876678416
B_0917,I_028,C_06,0.589299787,20.27950344,70.08665626,0.364179061,0.788787951,0.88755276,0.179472399,3.828967905,0.80922992
B_0994,I_017,C_06,0.612876056,30.02399233,88.78625925,0.457281071,0.873789672,0.682555401,0.202334909,4.201454062,0.942294114
B_0430,I_069,C_04,0.58968066,34.35535283,79.61959848,0.52318683,0.95501753,0.94003582,0.186930639,4.133624874,0.819033255
B_1371,I_018,C_24,0.98,32.94376265,97.81911202,0.049374176,0.797051386,0.958519354,0.205646667,4.827528998,0.817283009
B_0240,I_009,C_05,0.498466086,32.62084002,68.39066057,0.404195695,0.517583002,0.83514526,0.256982804,4.189367137,0.624882288
B_0880,I_019,C_23,0.647355162,25.59556249,98.33941187,0.29354296,0.747594437,0.556431395,0.151994332,3.791885833,0.559528612
B_0621,I_062,C_09,0.687251722,27.78284389,73.81368663,0.448079193,1,0.751106359,0.448671628,4.458686325,0.891464654
B_0257,I_062,C_25,0.590560254,26.91107939,64.83128354,0.332152881,0.881078681,0.752715635,0.179713469,4.416741868,0.843788552
B_0612,I_057,C_09,0.644021119,27.67420624,69.35093129,0.463982694,0.694103022,0.508634357,0.341614191,4.663380652,0.780641125
B_0545,I_060,C_10,0.594131012,28.2307807,68.01976612,0.381263052,0.75053146,0.674250413,0.167013312,3.374224945,0.623297381
B_0772,I_052,C_05,0.660373409,24.86345297,66.57818081,0.319950115,0.868344232,0.805400816,0.398810255,4.086449222,0.779328962
B_1420,I_101,C_17,0.423932058,24.59100137,74.87631027,0.643114617,0.572018462,0.864791057,0.277812311,3.580606667,0.938753709
B_1042,I_098,C_04,0.578123842,29.4182089,84.87143181,0.522933854,0.624636033,0.656172992,0.257543719,4.152330736,0.414503371
B_1790,I_002,C_19,0.657663771,24.04217214,76.55663379,0.302866408,0.840723485,0.742940896,0.38253641,4.680412976,0.771162247
B_0760,I_028,C_22,0.355343076,20.55266139,77.01506241,0.640891994,0.806470402,0.996217421,0.354204399,3.75244511,0.838772901
B_0383,I_110,C_25,0.653885213,35.78746769,86.06567433,0.407479677,0.930182666,0.620409237,0.381649515,4.09978661,0.989142074
B_1104,I_050,C_06,0.3,20.56470777,57.04556396,0.622256763,0.719247769,0.709436311,0.120917135,2.998608221,0.662954374
B_0974,I_001,C_14,0.375659586,34.36861005,76.10930061,0.570520406,0.686488499,0.872239181,0.199335115,4.522784619,0.60422222
B_0353,I_032,C_09,0.38680168,25.38944993,67.89017398,0.600730496,1,0.692901647,0.0802393,4.808545144,0.945865199
B_1606,I_018,C_19,0.798951849,32.23532574,76.41569129,0.172190027,0.698220777,1,0.337485002,4.162277181,0.660100487
B_1826,I_107,C_04,0.613751831,23.10572021,71.11333342,0.483128415,0.77714995,0.889777039,0.232296943,4.70746034,0.719097606
B_1037,I_075,C_07,0.3,9.447106262,54.48932546,0.65136432,0.451243359,0.382691878,0.152311755,3.763670556,0.402732129
B_1108,I_021,C_13,0.735839899,28.75687365,87.58360419,0.293657351,0.99961878,0.782749538,0.269138224,4.194540042,0.758688909
B_0495,I_119,C_16,0.670236676,21.02081115,86.08804306,0.277624101,0.865563898,0.694403322,0.314117654,4.582496264,0.614408316
B_0394,I_033,C_23,0.662347004,23.31945472,85.94707139,0.457853217,0.736884131,0.637252024,0.061190503,3.93046387,0.873506598
B_1547,I_034,C_10,0.788291172,32.09157367,86.34089647,0.23216833,0.875375153,0.997429806,0.389518655,4.254341739,0.876668472
B_0465,I_018,C_22,0.75553798,35.00439044,82.52668379,0.212849212,0.99675058,1,0.310890209,5,0.791635023
B_0887,I_014,C_17,0.456882355,24.12368714,85.22572465,0.598734708,1,0.857740855,0.297903783,3.894798798,0.817342485
B_1194,I_084,C_10,0.704232438,27.3673746,74.34536466,0.278208849,0.812573604,0.631619185,0.242020474,4.405902575,0.819978834
B_0367,I_024,C_20,0.598566087,19.81252375,72.93212292,0.451450927,1,0.69592531,0.371785751,5,0.620997767
B_1894,I_109,C_02,0.535462168,34.686159,90.82418032,0.506695605,0.871152032,0.755553927,0.251245678,3.834432409,0.623713768
B_1874,I_088,C_19,0.780346516,26.3954086,83.26773839,0.101541926,0.680509924,0.625861372,0.219056116,4.039620051,0.692136381
B_0745,I_112,C_04,0.464284164,19.87691995,92.62151933,0.554925471,1,0.866724156,0.253705353,4.327816596,0.694884993
B_0530,I_058,C_09,0.770659611,24.14576928,87.37750796,0.241970911,0.566047579,0.806947611,0.418791034,4.441002956,0.792895385
B_0803,I_046,C_07,0.564707353,28.15785202,76.36892341,0.37231098,0.537274012,1,0.17377166,3.820821513,0.577918958
B_1224,I_109,C_14,0.714067192,23.22564683,81.48317532,0.330379403,0.797745687,0.829184968,0.214571741,4.200666515,0.644361917
B_1979,I_113,C_08,0.3,29.57591598,76.58242798,0.6795705,0.744777685,0.784859339,0.169131547,3.76910849,0.626494998
B_1906,I_007,C_18,0.565964409,39.6162443,70.77448921,0.413971692,0.921665378,0.835437889,0.219657874,4.906876929,0.588815192
B_1700,I_002,C_12,0.724463496,24.78980266,74.2390559,0.204656828,0.988205721,0.713687952,0.102253421,4.848891899,0.703957189
B_1545,I_082,C_02,0.583568618,20.60788535,90.28571314,0.375163653,0.978186934,0.736615915,0.330801204,4.101262929,0.966409039
B_1314,I_084,C_25,0.594379086,27.7007541,75.32026684,0.388522281,0.927462278,0.973726042,0.205814019,4.714401064,0.682628025
B_0307,I_059,C_09,0.368939045,35.23992284,63.94557104,0.583247484,0.805729548,0.849064673,0.19444804,4.249241599,1
B_1667,I_046,C_02,0.587623114,24.25156714,84.37197916,0.441713451,0.565002055,0.982133608,0.139955461,4.61297111,0.762682089
B_0863,I_117,C_23,0.800701123,36.70815028,80.15081054,0.199251636,0.651174524,0.926786708,0.37817034,3.637348946,0.446213451
B_1567,I_022,C_10,0.459958936,21.00239956,71.86332271,0.508973282,0.482625553,0.638944386,0.126763792,4.924032977,0.831090787
B_0531,I_058,C_05,0.70562152,31.71089745,75.50008525,0.303571121,0.98951697,0.892106385,0.185345205,4.129560876,0.801761153
B_0655,I_119,C_17,0.778812706,28.13570748,73.6931321,0.158949715,1,0.760186004,0.055776909,4.574419391,0.809106254
B_1260,I_079,C_19,0.632194406,29.53691017,87.32115488,0.354023301,0.798106777,0.8055476,0.298186505,4.23145516,0.503854056
B_0234,I_105,C_16,0.853351093,38.08340038,93.18761051,0.112436866,0.81921086,1,0.324389112,4.257717869,0.991482488
B_0121,I_041,C_06,0.558785046,32.02968726,82.81800105,0.50748613,0.863194015,0.829744697,0.290690766,4.522398011,0.748014218
B_1698,I_011,C_22,0.655442198,36.38869407,71.16532104,0.391025243,0.793717458,0.613049275,0.094083221,4.302900288,0.904115401
B_0950,I_005,C_15,0.930608513,40,98.72382527,0.090779191,0.738102989,1,0.240945993,3.727128726,0.781710163
B_0618,I_113,C_09,0.433103635,21.93480816,61.43814143,0.63219075,0.817681717,0.857503447,0.294630707,4.513352528,0.39551071
B_1179,I_089,C_25,0.566811363,21.90429631,72.8213274,0.476958402,0.767786817,0.76094618,0.217863674,3.563096165,0.737355272
B_0308,I_070,C_08,0.414277991,25.22745843,71.30083376,0.564114732,0.693606782,0.473441384,0.126999147,3.659628298,0.56914509
B_0136,I_115,C_06,0.64887051,19.99213507,64.17648492,0.431759683,0.699464316,0.742903674,0.282456171,5,0.715381864
B_0555,I_094,C_07,0.449838874,16.22532761,73.42474155,0.502500426,0.764776774,0.792283117,0.335044341,3.65360514,0.79945828
B_1674,I_085,C_01,0.622581698,26.52604918,83.70249353,0.362203804,0.898632756,0.856281905,0.20776434,4.074568314,0.842182092
B_0584,I_058,C_23,0.79466132,30.00192097,86.67787609,0.265952228,1,0.990701208,0.429559376,4.876320623,0.942589381
B_1641,I_093,C_06,0.896439584,27.6852326,78.51610474,0.133955614,0.767042287,0.726265369,0.281804741,4.973543046,0.835393744
B_0671,I_101,C_16,0.3,20.69928913,67.06687647,0.657975091,0.888429388,0.6269001,0.23229981,3.981657094,0.536876403
B_0835,I_091,C_05,0.98,28.26066813,91.14053885,0.02,0.974813613,0.937103862,0.206757855,4.397065928,0.721910593
B_0110,I_085,C_08,0.788820253,35.02806513,70.28699919,0.190368649,0.918654311,0.79230389,0.372035612,4.808905155,1
B_1165,I_007,C_19,0.675346111,23.04267766,76.65753042,0.34859581,0.607738953,0.731179317,0.243403631,5,0.879135785
B_1960,I_108,C_11,0.655511741,33.10393776,83.252859,0.273604788,0.652501476,0.368112263,0.355762367,3.929145693,0.726256141
B_1465,I_038,C_14,0.387510936,30.95487204,66.29273802,0.634554324,0.671277357,0.983760825,0.165435273,3.598967488,0.710243538
B_1729,I_115,C_03,0.481213395,25.49652342,68.32562713,0.528936601,0.608801649,0.744537252,0.475660475,3.946506631,0.67057821
B_1243,I_055,C_07,0.616978455,31.25717345,64.94104421,0.405966436,0.920376597,1,0.384158748,3.968483754,0.777849488
B_0212,I_057,C_04,0.537609273,27.15240377,85.33430275,0.508525843,0.854291199,0.754110255,0.1031035,4.89693491,0.780765527
B_1768,I_086,C_02,0.521313259,24.88237893,83.6954608,0.423599888,0.752150115,0.59658334,0.282843447,3.271253009,0.999374189
B_1121,I_090,C_08,0.634657414,25.47188889,66.65615291,0.342047127,0.541456757,0.418549032,0.340764253,4.591600965,0.55219752
B_0680,I_029,C_05,0.520421056,27.45516302,59.23070718,0.436835163,1,0.825638962,0.299269613,4.31609173,0.821706462
B_1951,I_093,C_19,0.64848046,28.73259095,89.0882291,0.278535739,1,0.705807534,0.254771896,4.459781874,0.869751499
B_1839,I_017,C_12,0.585328609,18.49518354,77.32782439,0.502994169,0.644985028,0.637936749,0.226031853,4.676224049,0.652378844
B_0412,I_110,C_07,0.711008603,12.58462033,74.03712685,0.256382191,0.66100723,0.549514164,0.136685009,3.541453341,0.73584923
B_1325,I_119,C_19,0.7574226,25.65142786,84.35887621,0.25481936,0.721409797,0.742683317,0.190010632,4.17513212,0.807649857
B_0783,I_058,C_04,0.793922089,36.24608042,70.51001139,0.164282052,0.805992823,0.700144053,0,4.275104687,0.659977254
B_1346,I_064,C_25,0.623519761,24.8873785,77.71868045,0.364073422,0.85164695,0.586302502,0.250798331,4.458955379,0.79786019
B_0875,I_085,C_04,0.741860267,30.88344963,73.23350431,0.20949255,0.978908789,0.55508095,0.323083266,4.683135967,0.916262512
B_1653,I_101,C_22,0.365259389,24.83685871,82.5257661,0.600388242,0.711190063,0.727761796,0.332870435,4.37541192,0.417489615
B_1279,I_070,C_15,0.542722604,31.93450112,54.72811498,0.473484445,0.632826083,0.923966664,0.272940087,2.639914572,0.701277933
B_0786,I_095,C_23,0.365121878,24.01808249,63.64643499,0.588642139,0.600373059,0.773947976,0.394438054,4.199128854,0.953687991
B_1819,I_033,C_14,0.607153039,35.43454138,74.87223812,0.410510867,0.731839222,0.842891386,0.24980515,4.202991117,0.76898459
B_1199,I_105,C_02,0.938277679,33.3735205,86.81507151,0.067550914,1,1,0.411334436,4.72023542,0.729423187
B_0808,I_050,C_13,0.356461084,19.09920544,69.20292599,0.696601452,0.710968522,0.791899365,0.105917693,4.03105373,0.501585216
B_0713,I_010,C_14,0.98,28.72191264,85.08106624,0.02,0.923506525,0.826795834,0.390964791,5,0.911749791
B_1991,I_025,C_02,0.88269026,23.26329781,91.9730285,0.02,0.862114031,0.840290081,0.284814012,5,0.63861753
B_1660,I_034,C_16,0.735256081,34.42959187,72.24343428,0.257831703,0.891036526,1,0.2871373,3.567818377,0.735437379
B_1191,I_025,C_25,0.687197178,25.51855291,92.75084883,0.256547759,0.966614248,0.97946628,0.34375315,4.167865393,0.88299903
B_1226,I_101,C_24,0.475712972,21.40945573,74.75483646,0.483919788,0.76637885,0.636628868,0.325802256,4.108091726,0.711761066
B_0603,I_093,C_16,0.659351529,38.20965861,85.96061158,0.347974985,0.669279031,0.618719221,0.179888268,4.486878201,0.740251367
B_0271,I_113,C_20,0.3,20.44876831,72.47619861,0.7,0.740912753,0.670864464,0.263649045,3.958245058,0.516522266
B_1385,I_025,C_18,0.681350947,37.98907004,68.40830051,0.370405394,0.931846988,0.875865133,0.244334491,3.76903749,0.864770392
B_0232,I_116,C_21,0.610828898,35.05654458,83.52855498,0.423310667,0.734602844,0.602608629,0.152318038,4.199709047,0.823702606
B_0050,I_108,C_05,0.654508171,24.06893299,90.4670178,0.333140595,0.832465708,1,0.189751769,4.301281222,0.746744147
B_0463,I_033,C_13,0.625965464,40,93.81187025,0.382225791,0.940183011,0.577887993,0.151110254,3.955409078,0.795185953
B_1106,I_051,C_21,0.73723015,36.31356411,85.04409511,0.272301597,0.803545376,0.906818508,0.318218018,4.791598613,0.870010107
B_0856,I_062,C_03,0.476306027,26.4616831,51.29817356,0.488304458,0.704711726,0.625997641,0.371844482,4.672882247,0.933660838
B_0694,I_026,C_21,0.456014994,30.89205063,85.30615046,0.557565024,0.974232418,0.844893181,0.194131022,4.279034393,0.469501263
B_1552,I_108,C_16,0.784327964,21.02930594,70.66417067,0.27525783,0.588323199,0.621797022,0.222587652,4.26234306,0.945995793
B_1873,I_080,C_09,0.558824102,15.01735929,76.84438781,0.383850119,0.733744958,0.78149024,0.294019533,4.330857151,0.696712145
B_0527,I_063,C_18,0.416395833,29.42597845,80.57883753,0.55057711,0.642177808,0.939990268,0.2268491,4.288938559,0.583134836
B_0174,I_119,C_15,0.496176848,17.67187265,77.6755819,0.569857516,0.411848549,0.657551125,0.14973059,4.135881215,0.854972622
B_0721,I_112,C_08,0.3,23.55341115,63.71803512,0.659887267,0.817359141,0.685361744,0.115212233,4.118522934,0.348890151
B_0415,I_102,C_21,0.686241937,29.06785029,85.24322189,0.360143507,0.912121914,0.605594298,0.358673807,4.347057903,0.710633436
B_0238,I_072,C_19,0.61086635,25.93707009,67.07629745,0.454765249,1,0.802581232,0.315948086,4.36040974,0.573210287
B_1473,I_012,C_13,0.550904483,31.84101506,65.81028628,0.392651249,0.800305045,0.52444302,0.377617911,4.384346714,0.897068421
B_1336,I_117,C_06,0.623273818,20.96396375,76.00847278,0.415047518,0.834170513,0.943707643,0.153631309,3.575974196,0.813327273
B_1064,I_029,C_23,0.492484497,30.38979139,65.41331875,0.556293352,0.77734358,0.627134949,0.316707378,3.572416406,0.646950434
B_0024,I_108,C_24,0.507859513,33.40007858,98.76081574,0.500374728,0.697884221,0.725047141,0.176134748,4.897428826,0.446215315
